fid,index,ewz_real_sum
"1","1",200424
"2","2",1226910
"3","3",854308
"4","4",950596
"5","5",948270
"6","6",357765
"7","7",45206
"8","8",46144
"9","9",67463
"10","10",89668
"11","11",78199
"12","12",44793
"13","13",62751
"14","14",155547
"15","15",64101
"16","16",41500
"17","17",41597
"18","18",175226
"19","19",81188
"20","20",200893
"21","21",29843
"22","22",20622
"23","23",15248
"24","24",11887
"25","25",33228
"26","26",70320
"27","27",103001
"28","28",111645
"29","29",178434
"30","30",607649
"31","31",324683
"32","32",159497
"33","33",110817
"34","34",90786
"35","35",305621
"36","36",65425
"37","37",69531
"38","38",74601
"39","39",66588
"40","40",39926
"41","41",34123
"42","42",75764
"43","43",155978
"44","44",358372
"45","45",209066
"46","46",108175
"47","47",146746
"48","48",62238
"49","49",44432
"50","50",155617
"51","51",100805
"52","52",3241
"53","53",43735
"54","54",338897
"55","55",193941
"56","56",88916
"57","57",46882
"58","58",63081
"59","59",76646
"60","60",212590
"61","61",32052
"62","62",83627
"63","63",120142
"64","64",94020
"65","65",118146
"66","66",610240
"67","67",781501
"68","68",393979
"69","69",237945
"70","70",22582
"71","71",48500
"72","72",100069
"73","73",174057
"74","74",79075
"75","75",96297
"76","76",67750
"77","77",128919
"78","78",202524
"79","79",479723
"80","80",187532
"81","81",377877
"82","82",197539
"83","83",344690
"84","84",209856
"85","85",66785
"86","86",70306
"87","87",160815
"88","88",91255
"89","89",63512
"90","90",51441
"91","91",107968
"92","92",107781
"93","93",113864
"94","94",384994
"95","95",61095
"96","96",269455
"97","97",93267
"98","98",123418
"99","99",234798
"100","100",171519
"101","101",108063
"102","102",198376
"103","103",112257
"104","104",62485
"105","105",83784
"106","106",65487
"107","107",62946
"108","108",128829
"109","109",197755
"110","110",151688
"111","111",192788
"112","112",107146
"113","113",141494
"114","114",132718
"115","115",81388
"116","116",145594
"117","117",160483
"118","118",92678
"119","119",114908
"120","120",71751
"121","121",4062
"122","122",34826
"123","123",25169
"124","124",18708
"125","125",18592
"126","126",23350
"127","127",31967
"128","128",327988
"129","129",80246
"130","130",107025
"131","131",166634
"132","132",86659
"133","133",26210
"134","134",171816
"135","135",46370
"136","136",49465
"137","137",44242
"138","138",128548
"139","139",132497
"140","140",152220
"141","141",677129
"142","142",36672
"143","143",72552
"144","144",485539
"145","145",51003
"146","146",31837
"147","147",88193
"148","148",215739
"149","149",201489
"150","150",49875
"151","151",155573
"152","152",60089
"153","153",258716
"154","154",103747
"155","155",36835
"156","156",101117
"157","157",47922
"158","158",56084
"159","159",7589
"160","160",112677
"161","161",225568
"162","162",401488
"163","163",938429
"164","164",347400
"165","165",527059
"166","166",564897
"167","167",306007
"168","168",38308
"169","169",165476
"170","170",435760
"171","171",237528
"172","172",121113
"173","173",56274
"174","174",40880
"175","175",57794
"176","176",935239
"177","177",682563
"178","178",216809
"179","179",72616
"180","180",73233
"181","181",152896
"182","182",41468
"183","183",44726
"184","184",125179
"185","185",236144
"186","186",134593
"187","187",53366
"188","188",126413
"189","189",350101
"190","190",97517
"191","191",38194
"192","192",41248
"193","193",37851
"194","194",50634
"195","195",281044
"196","196",106936
"197","197",51223
"198","198",145661
"199","199",62435
"200","200",64634
"201","201",26430
"202","202",76147
"203","203",113443
"204","204",101021
"205","205",169335
"206","206",13145
"207","207",25790
"208","208",43065
"209","209",321540
"210","210",118699
"211","211",169534
"212","212",164719
"213","213",206527
"214","214",351907
"215","215",233340
"216","216",146878
"217","217",63710
"218","218",118140
"219","219",97495
"220","220",67047
"221","221",49527
"222","222",57728
"223","223",68037
"224","224",61155
"225","225",54538
"226","226",39518
"227","227",27970
"228","228",45656
"229","229",35354
"230","230",55861
"231","231",82125
"232","232",58896
"233","233",49259
"234","234",101190
"235","235",35335
"236","236",52609
"237","237",210680
"238","238",63803
"239","239",57611
"240","240",97981
"241","241",245428
"242","242",502614
"243","243",126114
"244","244",58259
"245","245",113683
"246","246",73646
"247","247",53276
"248","248",67613
"249","249",2631
"250","250",9746
"251","251",340215
"252","252",99942
"253","253",59351
"254","254",585131
"255","255",144571
"256","256",179867
"257","257",187280
"258","258",120994
"259","259",75315
"260","260",119263
"261","261",5448
"262","262",52186
"263","263",67143
"264","264",50373
"265","265",108669
"266","266",164573
"267","267",422473
"268","268",135993
"269","269",56661
"270","270",54977
"271","271",52115
"272","272",357771
"273","273",61676
"274","274",48499
"275","275",88805
"276","276",61303
"277","277",37267
"278","278",54510
"279","279",70417
"280","280",150512
"281","281",697537
"282","282",248036
"283","283",38552
"284","284",42068
"285","285",33464
"286","286",77093
"287","287",191510
"288","288",74285
"289","289",5521
"290","290",35507
"291","291",54966
"292","292",85737
"293","293",327390
"294","294",143484
"295","295",79434
"296","296",48116
"297","297",56826
"298","298",63860
"299","299",82244
"300","300",54745
"301","301",41217
"302","302",90318
"303","303",85247
"304","304",130521
"305","305",109585
"306","306",40177
"307","307",16005
"308","308",70423
"309","309",79508
"310","310",86439
"311","311",66012
"312","312",78824
"313","313",112579
"314","314",33147
"315","315",65700
"316","316",46573
"317","317",33268
"318","318",76967
"319","319",41800
"320","320",49531
"321","321",61564
"322","322",54778
"323","323",75537
"324","324",115874
"325","325",60457
"326","326",52505
"327","327",65366
"328","328",34935
"329","329",54150
"330","330",105063
"331","331",904603
"332","332",80639
"333","333",28244
"334","334",30622
"335","335",114812
"336","336",127548
"337","337",141173
"338","338",54617
"339","339",109975
"340","340",92985
"341","341",59379
"342","342",6117
"343","343",16518
"344","344",104445
"345","345",110523
"346","346",40499
"347","347",67216
"348","348",81042
"349","349",162391
"350","350",145663
"351","351",176571
"352","352",19683
"353","353",9551
"354","354",27495
"355","355",20478
"356","356",21874
"357","357",21652
"358","358",28971
"359","359",17571
"360","360",119804
"361","361",96228
"362","362",32632
"363","363",22785
"364","364",71743
"365","365",52882
"366","366",137439
"367","367",61113
"368","368",131091
"369","369",488622
"370","370",510177
"371","371",67666
"372","372",27566
"373","373",45325
"374","374",45597
"375","375",84259
"376","376",40705
"377","377",34089
"378","378",53710
"379","379",232250
"380","380",30736
"381","381",28701
"382","382",27639
"383","383",18991
"384","384",31689
"385","385",182544
"386","386",78433
"387","387",49463
"388","388",20492
"389","389",59441
"390","390",256328
"391","391",73484
"392","392",133130
"393","393",77411
"394","394",127315
"395","395",81740
"396","396",53684
"397","397",64705
"398","398",114274
"399","399",305307
"400","400",48029
"401","401",70927
"402","402",35558
"403","403",67328
"404","404",87079
"405","405",86571
"406","406",41551
"407","407",35448
"408","408",472694
"409","409",112508
"410","410",24229
"411","411",57642
"412","412",48497
"413","413",146198
"414","414",104485
"415","415",43625
"416","416",237894
"417","417",85215
"418","418",517679
"419","419",31546
"420","420",68135
"421","421",273763
"422","422",74121
"423","423",56063
"424","424",48354
"425","425",55603
"426","426",155205
"427","427",21227
"428","428",21394
"429","429",21964
"430","430",25931
"431","431",14841
"432","432",28454
"433","433",19381
"434","434",64749
"435","435",93149
"436","436",54650
"437","437",61149
"438","438",242057
"439","439",123226
"440","440",89762
"441","441",60281
"442","442",35449
"443","443",57362
"444","444",56689
"445","445",39048
"446","446",97661
"447","447",61538
"448","448",62217
"449","449",49310
"450","450",90174
"451","451",49421
"452","452",22746
"453","453",12080
"454","454",18231
"455","455",16112
"456","456",25422
"457","457",44808
"458","458",41387
"459","459",54167
"460","460",66607
"461","461",87462
"462","462",73179
"463","463",244475
"464","464",57161
"465","465",135704
"466","466",116735
"467","467",66993
"468","468",282284
"469","469",123665
"470","470",70380
"471","471",128730
"472","472",63200
"473","473",83559
"474","474",60854
"475","475",101456
"476","476",44982
"477","477",43233
"478","478",11435
"479","479",14004
"480","480",18160
"481","481",15296
"482","482",22404
"483","483",100337
"484","484",189964
"485","485",11030
"486","486",66626
"487","487",79934
"488","488",151089
"489","489",1259092
"490","490",108860
"491","491",60761
"492","492",50555
"493","493",32083
"494","494",63749
"495","495",90847
"496","496",58851
"497","497",54502
"498","498",36329
"499","499",43878
"500","500",22653
"501","501",9086
"502","502",17071
"503","503",12993
"504","504",32178
"505","505",28911
"506","506",22344
"507","507",29495
"508","508",162439
"509","509",26029
"510","510",13622
"511","511",32480
"512","512",49216
"513","513",207885
"514","514",71222
"515","515",180530
"516","516",155231
"517","517",22800
"518","518",32124
"519","519",13100
"520","520",17952
"521","521",16275
"522","522",14949
"523","523",77808
"524","524",19414
"525","525",49540
"526","526",89191
"527","527",76620
"528","528",1450
"529","529",9288
"530","530",2627
"531","531",4298
"532","532",20273
"533","533",57694
"534","534",80956
"535","535",67276
"536","536",55297
"537","537",104381
"538","538",139983
"539","539",122981
"540","540",26736
"541","541",32524
"542","542",38577
"543","543",52771
"544","544",48659
"545","545",73565
"546","546",36636
"547","547",26743
"548","548",16969
"549","549",94920
"550","550",93801
"551","551",459442
"552","552",161984
"553","553",104063
"554","554",1552
"555","555",21801
"556","556",13567
"557","557",11733
"558","558",20953
"559","559",68853
"560","560",100933
"561","561",66467
"562","562",86361
"563","563",89968
"564","564",29179
"565","565",77719
"566","566",18655
"567","567",20275
"568","568",51302
"569","569",1008572
"570","570",1073781
"571","571",54192
"572","572",19589
"573","573",925
"574","574",7043
"575","575",57610
"576","576",46478
"577","577",17712
"578","578",19099
"579","579",3805
"580","580",47066
"581","581",66119
"582","582",83535
"583","583",27873
"584","584",18669
"585","585",28476
"586","586",75245
"587","587",63811
"588","588",107300
"589","589",43567
"590","590",157148
"591","591",95205
"592","592",20952
"593","593",22964
"594","594",26893
"595","595",40922
"596","596",60244
"597","597",162240
"598","598",31984
"599","599",19138
"600","600",16749
"601","601",14488
"602","602",20020
"603","603",11345
"604","604",31513
"605","605",28651
"606","606",93872
"607","607",51737
"608","608",64144
"609","609",46283
"610","610",60621
"611","611",52238
"612","612",3777
"613","613",251379
"614","614",75770
"615","615",20507
"616","616",49567
"617","617",4239
"618","618",19519
"619","619",12759
"620","620",17205
"621","621",38896
"622","622",101402
"623","623",10840
"624","624",24094
"625","625",61478
"626","626",38314
"627","627",579428
"628","628",49777
"629","629",21137
"630","630",23917
"631","631",14354
"632","632",55487
"633","633",70448
"634","634",240000
"635","635",21869
"636","636",28371
"637","637",5194
"638","638",54409
"639","639",16973
"640","640",13440
"641","641",10079
"642","642",14405
"643","643",22098
"644","644",189934
"645","645",5074
"646","646",33553
"647","647",25461
"648","648",1599520
"649","649",257846
"650","650",21407
"651","651",13336
"652","652",28457
"653","653",52118
"654","654",155429
"655","655",146376
"656","656",931
"657","657",3978
"658","658",7105
"659","659",14961
"660","660",53663
"661","661",49076
"662","662",16783
"663","663",12706
"664","664",6003
"665","665",21302
"666","666",40766
"667","667",13141
"668","668",46637
"669","669",35352
"670","670",72906
"671","671",72159
"672","672",47519
"673","673",13083
"674","674",9177
"675","675",18671
"676","676",11182
"677","677",27418
"678","678",16865
"679","679",22150
"680","680",297
"681","681",326406
"682","682",3111
"683","683",4498
"684","684",17628
"685","685",1269
"686","686",8494
"687","687",4640
"688","688",13212
"689","689",23724
"690","690",55229
"691","691",73143
"692","692",87408
"693","693",57178
"694","694",19396
"695","695",87887
"696","696",235403
"697","697",107482
"698","698",41494
"699","699",47012
"700","700",77554
"701","701",39600
"702","702",32662
"703","703",25169
"704","704",10235
"705","705",22403
"706","706",141915
"707","707",312805
"708","708",981880
"709","709",802738
"710","710",453646
"711","711",122
"712","712",13950
"713","713",32499
"714","714",119526
"715","715",164143
"716","716",431092
"717","717",313056
"718","718",273750
"719","719",75663
"720","720",17687
"721","721",27180
"722","722",74941
"723","723",49778
"724","724",162383
"725","725",339176
