index,area,time,profit,distance,shape,profit_lo,profit_up,profit_be,time_be
1.0,0.0,0.0,0.0,0.0,Polygon(74 Points),0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,Polygon(117 Points),0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,Polygon(129 Points),0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,Polygon(110 Points),0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,Polygon(137 Points),0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,Polygon(152 Points),0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,Polygon(36 Points),0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,Polygon(239 Points),0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,Polygon(149 Points),0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,Polygon(187 Points),0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,Polygon(250 Points),0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,Polygon(162 Points),0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,Polygon(190 Points),0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,Polygon(44 Points),0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,Polygon(61 Points),0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,Polygon(206 Points),0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,Polygon(215 Points),0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,Polygon(34 Points),0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,Polygon(90 Points),0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,Polygon(172 Points),0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,Polygon(253 Points),0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,Polygon(54 Points),0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,Polygon(118 Points),0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,Polygon(191 Points),0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,Polygon(115 Points),0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,Polygon(60 Points),0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,Polygon(290 Points),0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,Polygon(102 Points),0.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0,0.0,Polygon(234 Points),0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,Polygon(127 Points),0.0,0.0,0.0,0.0
31.0,0.0,0.0,0.0,0.0,Polygon(110 Points),0.0,0.0,0.0,0.0
32.0,0.0,0.0,0.0,0.0,Polygon(118 Points),0.0,0.0,0.0,0.0
33.0,0.0,0.0,0.0,0.0,Polygon(248 Points),0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,Polygon(185 Points),0.0,0.0,0.0,0.0
35.0,0.0,0.0,0.0,0.0,Polygon(307 Points),0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0,Polygon(158 Points),0.0,0.0,0.0,0.0
37.0,0.0,0.0,0.0,0.0,Polygon(96 Points),0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,Polygon(121 Points),0.0,0.0,0.0,0.0
