area,hours,profit,nr_kge,agents,agent_profit,fix_costs
18.0,21017.03,1.64017355e6,28,13.14,124822.95,40000.0
48.0,20643.21,1.61275175e6,25,12.9,125019.52,40000.0
67.0,4813.08,382780.18,21,3.01,127169.5,40000.0
146.0,12211.99,977403.81,33,7.63,128100.11,40000.0
158.0,6131.99,486674.82,21,3.83,127069.14,40000.0
162.0,4666.21,363442.03,30,2.92,124466.45,40000.0
167.0,15540.74,1.21346709e6,30,9.71,124970.86,40000.0
182.0,6759.37,538462.11,34,4.22,127597.66,40000.0
187.0,13623.13,1.06419208e6,55,8.51,125051.95,40000.0
209.0,12253.59,960749.92,25,7.66,125424.27,40000.0
306.0,7562.04,605693.53,50,4.73,128053.6,40000.0
379.0,11270.69,921291.16,58,7.04,130865.22,40000.0
393.0,17913.93,1.3972226e6,52,11.2,124752.02,40000.0
434.0,24728.12,1.87600145e6,75,15.46,121345.5,40000.0
