area,hours,profit,nr_kge,agents,agent_profit
11.0,262430.0,262430.0,9,3.31,79284
25.0,358735.0,358735.0,1,4.67,76816
26.0,277895.0,277895.0,1,3.62,76766
27.0,345753.0,345753.0,11,4.41,78402
32.0,80271.0,80271.0,12,1.0,80270
42.0,324970.0,324970.0,9,4.17,77930
43.0,269938.0,269938.0,9,3.4,79393
92.0,113187.0,113187.0,16,1.38,82019
98.0,129696.0,129696.0,28,1.6,81059
102.0,211005.0,211005.0,13,2.63,80229
109.0,276825.0,276825.0,7,3.53,78420
111.0,274230.0,274230.0,10,3.48,78801
135.0,316205.0,316205.0,18,3.99,79249
166.0,511056.0,511056.0,14,6.46,79110
180.0,208215.0,208215.0,25,2.6,80082
184.0,94066.0,94066.0,25,1.15,81796
202.0,448126.0,448126.0,59,5.63,79596
247.0,136330.0,136330.0,20,1.66,82126
295.0,207895.0,207895.0,33,2.54,81848
324.0,482092.0,482092.0,37,6.1,79031
363.0,165425.0,165425.0,25,2.04,81090
391.0,79957.0,79957.0,13,1.0,79956
409.0,425730.0,425730.0,47,5.45,78115
431.0,405705.0,405705.0,16,5.26,77130
452.0,91307.0,91307.0,18,1.15,79397
