area,hours,profit,nr_kge,agents,agent_profit,fix_costs
0.0,0.0,0.0,79,0.0,NaN,50000.0
46.0,8033.47,1.65365361e6,42,5.02,329413.07,50000.0
106.0,2815.14,594044.42,40,1.76,337525.24,50000.0
141.0,12636.87,2.5427768e6,21,7.9,321870.48,50000.0
160.0,2192.49,457547.07,21,1.37,333975.96,50000.0
162.0,6684.29,1.38555002e6,26,4.18,331471.3,50000.0
164.0,5404.62,1.12803263e6,31,3.38,333737.46,50000.0
213.0,3726.85,771760.51,20,2.33,331227.69,50000.0
244.0,6654.74,1.37409419e6,24,4.16,330311.1,50000.0
258.0,6495.62,1.34221115e6,25,4.06,330593.88,50000.0
277.0,3722.51,791911.0,20,2.33,339875.96,50000.0
337.0,2487.13,521118.72,12,1.55,336205.63,50000.0
357.0,3723.21,805289.43,40,2.33,345617.78,50000.0
