area,hours,profit,nr_kge,agents,agent_profit,fix_costs
18.0,20800.0,1.64014717e6,28,13.0,126165.17,40000.0
48.0,20800.0,1.61273785e6,25,13.0,124056.76,40000.0
67.0,4800.0,382779.76,21,3.0,127593.25,40000.0
146.0,12800.0,977072.89,33,8.0,122134.11,40000.0
158.0,6400.0,486538.72,21,4.0,121634.68,40000.0
162.0,4800.0,363397.92,30,3.0,121132.64,40000.0
167.0,16000.0,1.21331073e6,30,10.0,121331.07,40000.0
182.0,6400.0,538226.67,34,4.0,134556.67,40000.0
187.0,14400.0,1.06368913e6,55,9.0,118187.68,40000.0
209.0,12800.0,960470.39,25,8.0,120058.8,40000.0
306.0,8000.0,605398.41,50,5.0,121079.68,40000.0
379.0,11200.0,921285.7,58,7.0,131612.24,40000.0
393.0,17600.0,1.39715759e6,52,11.0,127014.33,40000.0
434.0,24000.0,1.87575332e6,75,15.0,125050.22,40000.0
