area,hours,profit,nr_kge,agents,agent_profit,fix_costs
0.0,0.0,0.0,79,0.0,NaN,50000.0
46.0,8000.0,1.65364929e6,42,5.0,330729.86,50000.0
106.0,3199.99,592497.23,40,2.0,296248.62,50000.0
141.0,12800.0,2.5427137e6,21,8.0,317839.21,50000.0
160.0,1600.0,451591.91,21,1.0,451591.91,50000.0
162.0,6400.0,1.38516474e6,26,4.0,346291.19,50000.0
164.0,4800.0,1.12576971e6,31,3.0,375256.57,50000.0
213.0,3200.0,769241.95,20,2.0,384620.98,50000.0
244.0,6400.0,1.37378545e6,24,4.0,343446.36,50000.0
258.0,6400.0,1.34216715e6,25,4.0,335541.79,50000.0
277.0,3200.0,789364.77,20,2.0,394682.39,50000.0
337.0,3200.0,515573.22,12,2.0,257786.61,50000.0
357.0,3200.0,802693.95,40,2.0,401346.98,50000.0
